scenario,run,requests,rps,avg_ms,p95_ms,p99_ms,http_fail_rate,business_error_rate,dropped_iterations,sql_delta,cache_updates
DB_ONLY_N1_FIXED,run1,1201,20.016,10.142,15.714,22.275,0,0,0,7208,
DB_ONLY_N1_FIXED,run2,1201,20.016,9.794,13.855,17.467,0,0,0,7208,
DB_ONLY_N1_FIXED,run3,1201,20.016,11.383,19.507,28.018,0,0,0,7208,
DB_ONLY_N1_FIXED,run4,1200,20.002,10.694,15.938,23.350,0,0,0,7202,
DB_ONLY_N1_FIXED,run5,1201,20.015,10.389,17.045,22.614,0,0,0,7208,
COLD_200VU_N1_FIXED,run1,200,,3065.650,3409.147,3426.751,0,0,0,6,1
COLD_200VU_N1_FIXED,run2,200,,3210.840,3474.610,3495.720,0,0,0,6,1
COLD_200VU_N1_FIXED,run3,200,,3647.270,4117.810,4139.360,0,0,0,6,1
WARM_200VU_N1_FIXED,run1,200,,723.230,1153.020,1191.240,0,0,0,0,1
WARM_200VU_N1_FIXED,run2,200,,719.770,1129.020,1178.640,0,0,0,0,1
WARM_200VU_N1_FIXED,run3,200,,724.120,1176.680,1182.110,0,0,0,0,1
