"testSet","container","samples","cpuPeakPct","cpuAvgPct","memoryPeakPct"
"menu-formal","cozy-perf-gateway","226","19.67","8.41","52.39"
"menu-formal","cozy-perf-order","226","84.56","19.86","59.44"
"menu-capacity","cozy-perf-gateway","45","79.44","39.75","53.82"
"menu-capacity","cozy-perf-order","45","32.14","16.04","58.02"
"menu-cold","cozy-perf-gateway","3","73.58","62.07","63.47"
"menu-cold","cozy-perf-order","3","100.87","85.83","58.18"
"menu-warm","cozy-perf-gateway","3","103.59","74.82","54.81"
"menu-warm","cozy-perf-order","3","27.18","19.84","57.47"
"order-formal","cozy-perf-gateway","75","18.64","7.07","60.08"
"order-formal","cozy-perf-order","75","19.4","7.77","62.01"
