"directory","mode","scenario","rateTarget","duration","requests","actualRps","avgMs","p50Ms","p95Ms","p99Ms","maxMs","errorRatePct","droppedIterations","dbStatements","dbRowsExamined","dbTimeMs","redisCommands","redisHits","redisMisses"
"DB_ONLY_steady_20rps_60s_run1","DB_ONLY","steady","20","60s","1201","20.007","45.603","40.574","76.178","110.067","184.261","0","0","92473","199348","15424.285","8","0","0"
"DB_ONLY_steady_20rps_60s_run2","DB_ONLY","steady","20","60s","1201","20.008","40.879","37.154","64.61","98.711","171.603","0","0","92475","199362","14108.235","9","0","0"
"DB_ONLY_steady_20rps_60s_run3","DB_ONLY","steady","20","60s","1200","20.002","37.351","34.749","52.817","74.483","102.885","0","0","92401","199200","12899.495","8","0","0"
"DB_ONLY_steady_20rps_60s_run4","DB_ONLY","steady","20","60s","1201","19.997","41.259","36.513","70.218","90.488","142.494","0","0","92476","199361","14066.909","8","0","0"
"DB_ONLY_steady_20rps_60s_run5","DB_ONLY","steady","20","60s","1200","20.002","35.636","33.458","50.59","65.76","98.846","0","0","92402","199200","12351.398","8","0","0"
"L1_L2_steady_20rps_60s_run1","L1_L2","steady","20","60s","1201","20.017","4.003","3.736","6.173","8.005","18.599","0","0","2","0","0.768","8","0","0"
"L1_L2_steady_20rps_60s_run2","L1_L2","steady","20","60s","1201","20.017","3.956","3.753","5.901","8.548","15.794","0","0","2","0","0.664","8","0","0"
"L1_L2_steady_20rps_60s_run3","L1_L2","steady","20","60s","1201","20.018","4.067","3.756","6.336","8.413","12.886","0","0","2","0","0.558","9","0","0"
"L1_L2_steady_20rps_60s_run4","L1_L2","steady","20","60s","1200","20.002","3.849","3.615","5.781","7.004","11.002","0","0","2","0","0.764","8","0","0"
"L1_L2_steady_20rps_60s_run5","L1_L2","steady","20","60s","1201","20.017","3.773","3.478","5.909","7.618","14.673","0","0","2","0","0.554","8","0","0"
"REDIS_ONLY_steady_20rps_60s_run1","REDIS_ONLY","steady","20","60s","1201","20.017","5.065","4.697","7.984","9.904","15.372","0","0","2","0","0.631","1210","1201","0"
"REDIS_ONLY_steady_20rps_60s_run2","REDIS_ONLY","steady","20","60s","1201","20.017","5.099","4.77","7.825","9.918","22.998","0","0","2","0","0.805","1209","1201","0"
"REDIS_ONLY_steady_20rps_60s_run3","REDIS_ONLY","steady","20","60s","1201","20.017","5.177","4.879","7.939","9.501","14.58","0","0","2","0","0.595","1209","1201","0"
"REDIS_ONLY_steady_20rps_60s_run4","REDIS_ONLY","steady","20","60s","1201","20.017","4.869","4.518","7.43","9.347","12.272","0","0","2","0","0.634","1210","1201","0"
"REDIS_ONLY_steady_20rps_60s_run5","REDIS_ONLY","steady","20","60s","1200","20.002","4.851","4.607","7.099","8.479","13.571","0","0","2","0","0.746","1208","1200","0"
